Modèle,Famille,Version_données,Nombre_variables,Temps_entraînement_secondes,Temps_inférence_secondes,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,Random Forest,Original,552,0.7679105789998175,0.06420004799997514,0.7795483205319271,0.5658946787979046,0.8548521449396085,0.6809887193098872,0.8861325526601604
Logistic Regression,Logistic Regression,Original,552,0.885551249999935,0.0026499959999455314,0.8076923076923077,0.6929847959455855,0.541024573094544,0.6076482282773945,0.8661614370712615
Random Forest - PCA,Random Forest,PCA,8,2.5902336789999936,0.04915537000010772,0.7889487561618709,0.6289728235836021,0.5687213660974594,0.597331583552056,0.8109144422187265
Decision Tree - Gini,Decision Tree - Gini,Original,552,0.1058607659999779,0.0037026679999598855,0.6640490656884099,0.4334213504337986,0.7178259058725531,0.5404939239513916,0.7126586933025507
Decision Tree - Entropy,Decision Tree - Entropy,Original,552,0.1124339989999043,0.006092923000096562,0.6588329703083802,0.42934381912017694,0.7276134943773428,0.5400309119010819,0.7116007599122005
Decision Tree - Gini - PCA,Decision Tree - Gini,PCA,8,0.2548232110000299,0.002372969999896668,0.6116588329703084,0.3810729355033152,0.6582673885880883,0.48270596319767883,0.676297663988734
Decision Tree - Entropy - PCA,Decision Tree - Entropy,PCA,8,0.2964926289998857,0.0020396380000420322,0.6144101799839504,0.381070060546151,0.6422324031653478,0.47832493214424193,0.6746937915776684
Logistic Regression - PCA,Logistic Regression,PCA,8,0.0507155989998864,0.001038055999970311,0.7503725782414307,0.6666666666666666,0.18617242815493545,0.2910629985349178,0.7089046471199058
