Famille,Variables_originales,Composantes_PCA,Réduction_%,Temps_train_original_s,Temps_train_PCA_s,Delta_Recall,Delta_F1,Delta_ROC_AUC
Decision Tree - Entropy,552,8,98.55072463768117,0.1124339989999043,0.2964926289998857,-0.085381091211995,-0.061705979756839946,-0.03690696833453211
Decision Tree - Gini,552,8,98.55072463768117,0.1058607659999779,0.2548232110000299,-0.05955851728446482,-0.057787960753712786,-0.036361029313816684
Logistic Regression,552,8,98.55072463768117,0.885551249999935,0.0507155989998864,-0.35485214493960854,-0.3165852297424767,-0.15725678995135572
Random Forest,552,8,98.55072463768117,0.7679105789998175,2.5902336789999936,-0.2861307788421491,-0.08365713575783129,-0.0752181104414339
